Gender,Age,Education,Marital_Status,Employment_Status,Annual_Income,Co_Applicant_Income,State,Family_Members,Loan_Types,Savings_Balance,Existing_Loans,Home_Ownership,Mortgage,Loan_Amount,Loan_Term,Interest_Rate,Credit_History,Previous_Defaults,No_Of_Open_Accounts,Missed_Payments,Property_Area,Property_Value,Loan_Approveled
Female,48,Undergraduate,Married,Unemployed,120900,0,Bihar,2,Consumer Durable Loan,22040,1,Rent,Home,105650,12,11.91,Bad,1,10,4,Urban,152400,1
Male,80,Graduate,Single,Employed,354300,0,Dadra and Nagar Haveli and Daman and Diu,3,Car Loan / Vehicle Loan,65150,1,Rent,Car / Vehicle,887030,30,7.36,Good,0,12,1,Urban,65100,0
Female,65,Undergraduate,Married,Employed,304100,0,West Bengal,7,Credit Card Loan,100670,1,Rent,Home,14440,16,23.39,Bad,2,8,3,Urban,92400,1
Female,59,Undergraduate,Married,Employed,565800,0,Odisha,0,Home Loan,203320,1,Rent,Apartment/Flat,4488050,102,6.25,Good,0,4,2,Rural,801600,0
Female,74,Undergraduate,Married,Self-employed,325100,0,Chandigarh,6,Car Loan / Vehicle Loan,54020,0,Rent,Car / Vehicle,239890,61,12.47,Good,0,2,0,Urban,158800,1
Male,50,Undergraduate,Divorced,Employed,363700,61700,Uttarakhand,8,Car Loan / Vehicle Loan,91840,3,Family,Car / Vehicle,580350,18,9.6,Good,1,10,0,Semi-urban,62500,0
Male,63,Graduate,Single,Self-employed,1347500,209000,Gujarat,3,Personal Loan,152730,2,Own,Fixed Deposit,67050,17,9.64,Good,0,11,1,Urban,275900,1
Male,35,Graduate,Married,Employed,427600,0,Manipur,5,Gold Loan,300090,0,Rent,Gold,635520,35,12.28,Good,0,14,0,Urban,6879800,1
Male,78,Graduate,Single,Self-employed,398900,0,Ladakh,7,Car Loan / Vehicle Loan,192280,2,Rent,Car / Vehicle,255280,19,9.35,Good,0,12,0,Urban,195000,0
Female,57,Graduate,Married,Employed,269100,195200,Tripura,6,Car Loan / Vehicle Loan,56350,1,Rent,Car / Vehicle,349350,39,12.24,Good,0,9,0,Urban,406300,1
Male,67,Graduate,Married,Self-employed,499000,0,Tamil Nadu,0,Home Loan,118290,1,Rent,Land/Plot,999190,356,6.2,Good,0,13,0,Semi-urban,1406400,0
Male,47,Graduate,Single,Employed,702600,565300,Gujarat,6,Personal Loan,114270,0,Own,Home,459460,28,11.59,Good,0,10,0,Urban,111800,1
Male,72,Undergraduate,Single,Self-employed,310400,312300,Punjab,2,Personal Loan,40800,3,Rent,Vehicle,160250,15,8.19,Good,0,5,0,Rural,24100,1
Female,22,Undergraduate,Married,Employed,177900,92700,Goa,8,Car Loan / Vehicle Loan,20710,1,Family,Car / Vehicle,280700,23,6.0,Good,0,7,1,Semi-urban,47800,0
Male,25,Undergraduate,Married,Employed,145500,0,Tripura,2,Home Loan,19180,2,Family,House,841980,296,6.59,Good,0,7,0,Urban,2092200,0
Female,49,Undergraduate,Married,Self-employed,330400,169700,Haryana,10,Business Loan,196640,0,Rent,Land/Plot,4448000,96,10.4,Good,0,9,0,Rural,3088400,0
Male,64,Graduate,Married,Employed,243700,136400,Karnataka,1,Home Loan,154290,0,Rent,Apartment/Flat,697970,141,7.02,Good,0,8,0,Urban,1754900,1
Female,68,Graduate,Married,Employed,552400,155200,Rajasthan,9,Startup Loan,51060,2,Rent,Commercial Property,1168410,141,10.69,Bad,0,9,0,Semi-urban,3203900,0
Female,45,Undergraduate,Married,Employed,366300,0,Andhra Pradesh,0,Home Loan,177090,1,Family,House,3990770,102,7.81,Good,1,11,0,Urban,3715200,0
Male,58,Undergraduate,Single,Employed,856700,152800,Uttar Pradesh,7,Wedding Loan,89170,2,Family,Home,192870,10,10.16,Good,0,11,1,Semi-urban,107400,1
Male,52,Undergraduate,Married,Employed,403100,0,Meghalaya,3,Gold Loan,205420,0,Rent,Gold,418900,36,14.89,Good,1,6,0,Urban,2323300,1
Male,78,Undergraduate,Married,Employed,256600,71700,Odisha,2,Personal Loan,75870,2,Rent,Home,76130,54,12.25,Good,0,8,1,Rural,119900,1
Male,59,Undergraduate,Married,Employed,844000,0,Uttarakhand,2,Car Loan / Vehicle Loan,153820,2,Own,Vehicle,1014460,39,6.0,Good,0,7,0,Urban,187700,1
Male,44,Undergraduate,Married,Employed,403800,51700,West Bengal,0,Startup Loan,159470,0,Family,Commercial Property,1289190,174,9.32,Good,0,10,0,Semi-urban,4567200,1
Female,79,Undergraduate,Married,Employed,421300,0,Ladakh,1,Car Loan / Vehicle Loan,342580,1,Rent,Car / Vehicle,274150,21,10.93,Good,0,5,0,Rural,45700,1
Female,24,Undergraduate,Divorced,Employed,188300,126000,Gujarat,4,Consumer Durable Loan,11620,0,Rent,Home,50690,6,12.73,Bad,0,4,2,Urban,98700,1
Male,80,Graduate,Married,Self-employed,562400,0,Meghalaya,1,Home Loan,386390,1,Rent,Apartment/Flat,2072670,252,6.03,Good,0,12,0,Rural,1278200,1
Female,27,Graduate,Single,Employed,163700,119100,Bihar,10,Personal Loan,23950,0,Rent,Home,651890,40,8.11,Good,0,10,0,Semi-urban,208900,1
Male,36,Graduate,Married,Unemployed,103900,187100,Jharkhand,9,Consumer Durable Loan,89710,3,Rent,Home,31090,6,15.93,Bad,3,7,4,Semi-urban,227200,1
Female,69,Undergraduate,Single,Self-employed,366000,0,Punjab,5,Personal Loan,202380,0,Rent,Home,166520,13,15.47,Good,0,8,0,Urban,49400,1
Male,64,Undergraduate,Married,Employed,460500,0,Chhattisgarh,1,Education Loan,51910,1,Rent,Vehicle,322530,27,6.69,Good,0,4,0,Rural,189800,0
Female,79,Graduate,Single,Self-employed,953700,0,Mizoram,10,Consumer Durable Loan,165500,1,Own,Home,53960,21,13.91,Good,0,3,0,Rural,21900,1
Female,65,Graduate,Married,Employed,804800,0,Ladakh,7,Personal Loan,326740,2,Own,Home,209320,13,15.67,Bad,1,11,4,Urban,44300,0
Male,58,Undergraduate,Divorced,Employed,501400,0,Assam,2,Home Loan,295650,2,Rent,House,4009130,84,10.16,Bad,1,9,5,Semi-urban,4286500,0
Male,39,Graduate,Single,Employed,142600,0,Himachal Pradesh,0,Car Loan / Vehicle Loan,57700,1,Family,Car / Vehicle,519060,47,10.73,Good,0,7,0,Rural,247400,0
Male,18,Undergraduate,Married,Employed,115900,0,Karnataka,6,Consumer Durable Loan,43770,1,Rent,Home,90350,24,7.75,Good,1,10,0,Semi-urban,46500,1
Female,25,Graduate,Married,Employed,90100,267500,Jammu and Kashmir,0,Home Loan,14940,0,Rent,Apartment/Flat,1339370,299,10.26,Good,1,1,1,Rural,1055200,0
Female,36,Graduate,Single,Employed,619600,178900,Uttarakhand,6,Personal Loan,175980,2,Rent,Home,190380,43,10.54,Good,0,3,0,Semi-urban,75200,1
Female,20,Graduate,Divorced,Employed,188600,317900,Gujarat,4,Home Loan,49170,3,Rent,Apartment/Flat,1756840,295,11.41,Bad,1,10,5,Urban,1772700,0
Female,50,Graduate,Married,Employed,428200,0,Uttar Pradesh,9,Startup Loan,35620,0,Rent,Commercial Property,476630,13,11.09,Good,0,2,0,Rural,783300,0
Female,66,Graduate,Married,Employed,324500,0,Andhra Pradesh,4,Personal Loan,117330,2,Rent,Home,197120,30,13.32,Good,0,6,1,Semi-urban,160100,1
Male,78,Graduate,Married,Employed,948200,181900,Andaman and Nicobar Islands,4,Personal Loan,195440,3,Rent,Home,170270,36,8.92,Good,0,11,0,Urban,89400,1
Male,48,Graduate,Single,Employed,472600,0,Himachal Pradesh,6,Business Loan,392780,0,Family,Land/Plot,227220,141,8.36,Bad,0,6,4,Urban,856300,0
Female,73,Graduate,Single,Self-employed,484700,0,Uttar Pradesh,10,Credit Card Loan,341590,1,Rent,Home,20610,21,11.96,Bad,0,11,6,Urban,86900,1
Male,80,Undergraduate,Single,Employed,405500,0,Nagaland,7,Home Loan,129900,0,Rent,Land/Plot,550360,131,7.06,Good,0,5,0,Semi-urban,1241500,1
Female,72,Graduate,Married,Employed,528800,33000,Uttarakhand,7,Car Loan / Vehicle Loan,353630,3,Family,Car / Vehicle,752490,71,19.3,Bad,2,10,5,Semi-urban,191900,0
Male,47,Graduate,Single,Employed,406800,0,Madhya Pradesh,3,Gold Loan,183970,0,Rent,Gold,68970,33,9.52,Good,0,14,1,Rural,890100,1
Male,38,Graduate,Single,Unemployed,228900,128100,Punjab,5,Car Loan / Vehicle Loan,62160,0,Rent,Car / Vehicle,733930,35,16.71,Bad,1,12,6,Urban,137300,0
Female,79,Not Graduate,Married,Self-employed,616700,98800,Jammu and Kashmir,2,Car Loan / Vehicle Loan,54930,0,Rent,Car / Vehicle,692590,43,7.7,Good,0,6,2,Urban,116300,1
Male,33,Undergraduate,Single,Employed,265700,0,Andaman and Nicobar Islands,4,Car Loan / Vehicle Loan,64650,0,Rent,Car / Vehicle,261720,47,11.39,Good,0,3,0,Urban,267300,1
Male,43,Not Graduate,Married,Self-employed,172000,103100,Punjab,9,Home Loan,36410,1,Family,House,2469690,162,9.45,Bad,0,9,2,Semi-urban,889700,1
Male,22,Not Graduate,Married,Employed,157300,0,Ladakh,1,Home Loan,39800,0,Rent,Apartment/Flat,3259340,309,6.0,Good,0,6,0,Rural,624700,0
Female,68,Graduate,Single,Self-employed,372100,154500,Chhattisgarh,1,Home Loan,85660,3,Rent,Apartment/Flat,6626970,309,8.05,Good,0,6,0,Rural,922400,0
Female,58,Undergraduate,Single,Employed,829900,0,Uttar Pradesh,6,Home Loan,554620,2,Own,Apartment/Flat,7050720,298,12.14,Bad,1,6,3,Urban,2294400,0
Male,23,Graduate,Single,Self-employed,589700,0,Tamil Nadu,8,Personal Loan,430540,1,Rent,Home,1216610,6,14.56,Bad,0,6,3,Semi-urban,243700,0
Male,31,Not Graduate,Married,Employed,265700,0,Jharkhand,10,Home Loan,49710,2,Family,Apartment/Flat,1022690,97,10.71,Good,0,3,1,Semi-urban,2757200,0
Male,52,Graduate,Single,Employed,250000,83700,Manipur,6,Home Loan,23950,1,Family,Apartment/Flat,2247020,161,9.36,Good,0,10,0,Rural,962300,0
Female,52,Graduate,Married,Employed,366300,120800,Manipur,7,Business Loan,46580,3,Rent,Commercial Property,2220180,85,19.04,Bad,3,0,0,Semi-urban,2600500,0
Male,68,Not Graduate,Married,Employed,254400,199700,Tripura,3,Personal Loan,189900,1,Rent,Vehicle,438040,8,14.22,Good,0,12,0,Semi-urban,175700,0
Female,34,Undergraduate,Single,Employed,163400,99500,Tamil Nadu,4,Business Loan,97130,0,Rent,House,567820,60,10.91,Good,0,11,0,Semi-urban,2785600,1
Female,76,Not Graduate,Married,Unemployed,76500,374500,Andaman and Nicobar Islands,3,Travel Loan,8500,1,Rent,Other,331930,12,6.47,Good,0,2,0,Urban,153200,1
Male,46,Graduate,Divorced,Self-employed,532700,0,Telangana,1,Personal Loan,45550,0,Rent,Gold,131060,21,10.48,Good,1,12,0,Semi-urban,284200,1
Female,69,Graduate,Single,Self-employed,690300,0,Puducherry,4,Credit Card Loan,118910,1,Own,Home,85240,30,16.23,Good,0,11,0,Semi-urban,77200,1
Female,33,Graduate,Divorced,Employed,641100,0,Chandigarh,2,Home Loan,745540,1,Rent,House,2811060,187,8.31,Good,0,6,1,Rural,464600,0
Male,20,Graduate,Single,Unemployed,63400,0,Rajasthan,6,Education Loan,24510,0,Rent,Agricultural Land,2185430,128,13.93,Good,1,4,0,Urban,320100,0
Male,21,Graduate,Married,Self-employed,194700,0,Andhra Pradesh,8,Personal Loan,44550,1,Rent,Home,724090,50,14.32,Good,0,10,0,Rural,97900,0
Female,41,Graduate,Single,Employed,190000,0,Maharashtra,10,Education Loan,47500,0,Family,Agricultural Land,916580,86,10.59,Good,0,4,0,Urban,83900,0
Female,78,Undergraduate,Married,Employed,458700,0,Chhattisgarh,9,Home Loan,28150,0,Rent,House,925940,331,8.67,Good,0,13,0,Semi-urban,2341400,0
Female,21,Graduate,Married,Employed,164100,136600,Meghalaya,3,Startup Loan,35920,0,Rent,Commercial Property,3663700,147,10.25,Good,0,14,1,Rural,1823100,0
Other,41,Undergraduate,Divorced,Employed,275400,120800,Puducherry,10,Gold Loan,205330,0,Rent,Gold,56770,20,15.98,Bad,1,7,5,Urban,1711000,1
Male,24,Not Graduate,Divorced,Employed,104100,66200,Manipur,10,Credit Card Loan,20990,1,Rent,Home,289520,4,14.89,Good,0,6,0,Semi-urban,167500,0
Female,76,Undergraduate,Single,Employed,282100,0,Chandigarh,5,Medical Loan,64150,0,Family,Home,44230,43,12.41,Bad,2,8,1,Semi-urban,69200,1
Female,60,Graduate,Married,Employed,703400,187200,Mizoram,2,Business Loan,253020,2,Rent,Commercial Property,724710,146,13.9,Good,0,9,0,Rural,732300,1
Male,66,Graduate,Single,Employed,459400,0,Rajasthan,8,Car Loan / Vehicle Loan,51670,1,Rent,Car / Vehicle,653670,48,8.26,Bad,1,6,1,Urban,387000,0
Male,62,Graduate,Single,Unemployed,356100,113500,Arunachal Pradesh,1,Gold Loan,128490,1,Rent,Gold,408900,33,9.35,Good,1,10,0,Rural,810500,0
Male,59,Undergraduate,Single,Employed,205000,0,Tripura,3,Education Loan,29230,1,Rent,Agricultural Land,233790,17,13.38,Bad,4,10,2,Rural,39000,0
Female,66,Graduate,Married,Self-employed,1028800,0,Himachal Pradesh,5,Personal Loan,190750,2,Family,Home,56930,18,8.64,Good,0,10,0,Semi-urban,46900,1
Male,18,Graduate,Married,Employed,140600,61800,Mizoram,9,Gold Loan,28720,1,Rent,Gold,168770,27,8.19,Good,0,7,1,Urban,1141800,1
Female,72,Not Graduate,Single,Unemployed,87800,324800,Puducherry,10,Education Loan,17940,0,Family,Agricultural Land,936300,62,9.43,Good,0,3,0,Semi-urban,120500,0
Male,64,Undergraduate,Divorced,Self-employed,543100,0,Himachal Pradesh,8,Business Loan,162920,3,Rent,Commercial Property,1068760,153,9.8,Good,0,4,1,Urban,1587000,0
Male,64,Undergraduate,Married,Unemployed,212200,0,Ladakh,5,Car Loan / Vehicle Loan,55310,1,Family,Car / Vehicle,209240,56,10.73,Good,0,1,0,Semi-urban,37100,1
Female,42,Graduate,Single,Employed,710100,0,Chandigarh,0,Home Loan,169710,0,Own,Apartment/Flat,834780,97,11.82,Bad,1,9,1,Urban,3409400,1
Male,68,Not Graduate,Married,Employed,505800,69600,Arunachal Pradesh,8,Education Loan,154150,1,Family,Agricultural Land,1278390,162,9.17,Good,0,4,0,Urban,26400,0
Female,42,Graduate,Married,Employed,352400,0,Maharashtra,9,Personal Loan,47130,2,Family,Home,168560,52,12.52,Good,0,0,1,Urban,226300,1
Male,21,Graduate,Married,Employed,571200,72500,Puducherry,5,Business Loan,28100,0,Rent,Commercial Property,1446030,157,8.58,Good,0,11,0,Semi-urban,748500,0
Female,75,Not Graduate,Married,Self-employed,435300,0,Mizoram,6,Consumer Durable Loan,119510,1,Rent,Home,32220,9,6.0,Good,0,1,0,Semi-urban,44300,1
Male,32,Not Graduate,Married,Employed,60000,0,Andaman and Nicobar Islands,9,Car Loan / Vehicle Loan,9570,0,Rent,Car / Vehicle,266390,59,11.91,Good,1,9,0,Semi-urban,64300,0
Other,24,Undergraduate,Single,Employed,196000,121500,Ladakh,1,Personal Loan,77950,0,Family,Home,169940,58,10.52,Good,0,10,1,Urban,144000,1
Female,57,Graduate,Married,Self-employed,425700,0,Andhra Pradesh,8,Business Loan,75670,1,Rent,Commercial Property,409240,159,12.2,Good,0,7,1,Urban,2669700,1
Male,32,Graduate,Single,Employed,262500,108000,Uttarakhand,5,Car Loan / Vehicle Loan,15900,3,Family,Car / Vehicle,539920,17,6.38,Bad,1,7,1,Urban,267600,0
Male,72,Undergraduate,Single,Self-employed,596000,133400,Jammu and Kashmir,7,Home Loan,149700,0,Family,Land/Plot,860970,212,6.51,Good,0,5,1,Semi-urban,803800,1
Male,45,Undergraduate,Single,Employed,405200,0,Rajasthan,2,Personal Loan,259790,0,Rent,Home,198680,23,10.54,Good,0,12,0,Urban,117600,1
Female,18,Graduate,Married,Employed,129000,30800,Lakshadweep,6,Home Loan,45800,2,Rent,House,2369720,86,8.35,Good,0,5,0,Semi-urban,2388400,0
Female,77,Graduate,Married,Employed,1100100,0,Uttar Pradesh,2,Startup Loan,97610,1,Rent,Commercial Property,2144900,147,13.57,Good,0,6,1,Urban,1065800,1
Male,50,Undergraduate,Married,Employed,186400,0,Tamil Nadu,5,Home Loan,31240,0,Rent,Apartment/Flat,7619260,223,6.41,Good,0,5,0,Rural,977100,0
Male,34,Undergraduate,Single,Self-employed,136800,0,Chhattisgarh,5,Car Loan / Vehicle Loan,25420,2,Rent,Car / Vehicle,580520,36,6.0,Good,0,5,1,Urban,34800,1
Female,60,Graduate,Divorced,Self-employed,288900,107900,Andaman and Nicobar Islands,10,Farm Equipment Loan,68940,0,Rent,Land/Plot,235500,53,8.64,Good,0,14,1,Urban,930400,1
Female,51,Undergraduate,Single,Employed,491600,124800,Dadra and Nagar Haveli and Daman and Diu,7,Home Loan,84970,0,Rent,House,838000,244,7.14,Good,0,11,0,Urban,2324400,1
Female,19,Not Graduate,Married,Employed,144000,0,Kerala,6,Home Loan,9770,0,Family,Apartment/Flat,5270720,341,9.01,Good,0,5,0,Urban,3311800,0
Male,65,Graduate,Single,Self-employed,335900,0,Goa,4,Home Loan,83190,2,Rent,Apartment/Flat,513880,293,8.87,Good,0,3,1,Urban,1941400,1
Female,43,Undergraduate,Married,Employed,236400,0,Rajasthan,3,Travel Loan,205540,2,Rent,Home,103510,5,8.07,Good,0,5,0,Semi-urban,130900,1
Other,62,Undergraduate,Married,Employed,384200,0,Ladakh,7,Wedding Loan,62970,1,Family,Home,427200,34,13.49,Good,0,2,0,Semi-urban,309300,1
Male,74,Undergraduate,Married,Employed,213900,0,Uttarakhand,9,Car Loan / Vehicle Loan,21870,0,Rent,Car / Vehicle,1367800,35,6.0,Good,0,2,2,Urban,125400,0
Male,56,Not Graduate,Married,Self-employed,488800,0,Chandigarh,6,Consumer Durable Loan,422380,1,Rent,Home,34860,23,17.23,Good,0,11,0,Rural,9800,1
Male,60,Undergraduate,Married,Employed,911200,0,Rajasthan,7,Consumer Durable Loan,1171190,0,Rent,Home,36700,21,10.44,Good,0,5,2,Urban,205800,1
Female,34,Undergraduate,Married,Employed,239300,0,Meghalaya,3,Home Loan,47740,1,Rent,Apartment/Flat,3618300,68,6.0,Good,0,5,1,Semi-urban,547200,0
Male,32,Graduate,Married,Unemployed,120100,0,Karnataka,6,Home Loan,40150,0,Rent,House,1753560,293,11.06,Bad,2,1,5,Urban,1027400,0
Female,44,Undergraduate,Divorced,Unemployed,113200,153800,Chandigarh,6,Business Loan,37340,1,Rent,Commercial Property,1952860,73,11.5,Bad,0,14,2,Urban,2414200,0
Female,71,Graduate,Divorced,Employed,1021100,0,Telangana,7,Home Loan,574750,0,Own,House,522980,310,6.0,Good,0,5,0,Semi-urban,1350100,1
Female,51,Graduate,Married,Self-employed,1527000,0,Uttarakhand,3,Personal Loan,172730,2,Rent,Fixed Deposit,311130,50,17.02,Bad,2,9,1,Urban,175500,0
Female,39,Undergraduate,Married,Unemployed,78300,0,Dadra and Nagar Haveli and Daman and Diu,3,Home Loan,21130,0,Rent,Apartment/Flat,6555480,164,13.6,Bad,0,10,4,Urban,2213500,0
Male,67,Undergraduate,Married,Employed,392000,168700,Puducherry,3,Personal Loan,45310,1,Rent,Other,87980,41,11.27,Good,2,11,1,Semi-urban,85500,0
Female,71,Not Graduate,Divorced,Self-employed,505100,129300,Dadra and Nagar Haveli and Daman and Diu,4,Home Loan,184060,0,Rent,House,571030,84,7.49,Good,0,6,0,Semi-urban,2649300,1
Male,74,Undergraduate,Single,Employed,465600,0,Mizoram,3,Home Loan,431820,0,Rent,Apartment/Flat,1192540,192,6.0,Good,0,5,1,Rural,1747000,1
Female,36,Undergraduate,Divorced,Employed,168400,0,Chhattisgarh,2,Home Loan,60780,0,Family,House,543920,70,14.83,Bad,2,6,5,Semi-urban,1312000,0
Female,62,Graduate,Married,Self-employed,194200,0,Rajasthan,5,Medical Loan,27200,0,Rent,Home,146880,48,12.64,Bad,0,4,2,Urban,456400,1
Female,55,Undergraduate,Married,Self-employed,302500,0,Mizoram,9,Home Loan,185470,0,Rent,House,7140660,312,10.4,Good,0,10,0,Semi-urban,1748300,0
Female,46,Not Graduate,Married,Employed,313900,123800,Ladakh,0,Gold Loan,53220,2,Rent,Gold,462390,25,11.57,Good,1,5,0,Rural,999700,1
Male,43,Graduate,Single,Employed,330200,117600,Arunachal Pradesh,7,Gold Loan,133320,3,Rent,Gold,552320,23,9.19,Good,0,13,0,Urban,4078400,1
Female,25,Undergraduate,Married,Self-employed,122000,0,Dadra and Nagar Haveli and Daman and Diu,8,Car Loan / Vehicle Loan,18120,0,Rent,Car / Vehicle,788530,31,6.71,Good,0,3,1,Urban,90000,0
Female,35,Undergraduate,Married,Employed,197000,0,Tamil Nadu,9,Credit Card Loan,18810,0,Rent,Home,198080,26,19.26,Good,0,6,0,Semi-urban,67400,1
Female,52,Graduate,Single,Self-employed,1437500,0,Assam,9,Car Loan / Vehicle Loan,216400,1,Own,Car / Vehicle,320690,68,10.74,Good,0,2,0,Semi-urban,176900,1
Male,73,Undergraduate,Married,Employed,207000,100800,Himachal Pradesh,3,Personal Loan,6590,2,Rent,Home,820340,60,14.48,Bad,1,5,8,Urban,361400,0
Male,72,Graduate,Single,Employed,404900,0,Assam,1,Personal Loan,47030,2,Family,Home,404850,46,13.64,Good,0,9,0,Semi-urban,58300,1
Female,29,Graduate,Married,Unemployed,68300,0,Ladakh,10,Business Loan,104710,0,Rent,Commercial Property,558230,12,11.46,Good,0,9,1,Urban,1980900,0
Male,60,Graduate,Married,Self-employed,1540200,0,Telangana,7,Business Loan,44640,0,Own,House,473410,77,10.01,Good,0,13,0,Urban,2224800,1
Female,23,Graduate,Married,Self-employed,112500,0,Tamil Nadu,3,Home Loan,8850,0,Rent,Apartment/Flat,3046580,254,6.0,Good,0,11,1,Semi-urban,3450300,0
Female,60,Graduate,Single,Self-employed,341000,0,Odisha,9,Consumer Durable Loan,379730,3,Family,Home,105220,21,7.71,Good,0,7,1,Urban,132200,1
Female,39,Not Graduate,Single,Employed,232800,0,Manipur,3,Credit Card Loan,29870,1,Family,Home,24590,24,17.65,Good,1,5,0,Urban,125600,1
Male,46,Graduate,Single,Employed,479400,212400,Gujarat,8,Startup Loan,95980,0,Rent,Commercial Property,1418970,61,10.1,Good,1,4,1,Semi-urban,1020600,1
Female,63,Undergraduate,Married,Employed,714200,266300,Uttarakhand,10,Wedding Loan,195030,1,Own,Home,107060,13,12.19,Bad,1,10,2,Urban,122600,0
Male,44,Undergraduate,Married,Employed,587300,0,Chhattisgarh,8,Consumer Durable Loan,43430,3,Rent,Home,43090,22,16.34,Bad,1,13,5,Rural,45700,0
Male,68,Graduate,Married,Employed,327100,0,Haryana,7,Gold Loan,208420,2,Rent,Gold,374030,19,9.58,Good,0,0,1,Rural,1256200,1
Female,51,Graduate,Married,Employed,572400,0,Puducherry,2,Car Loan / Vehicle Loan,143690,0,Rent,Car / Vehicle,313170,45,8.29,Good,0,5,2,Semi-urban,177700,1
Male,80,Not Graduate,Single,Employed,262800,0,Bihar,10,Business Loan,43720,1,Rent,Commercial Property,1509640,166,7.46,Good,0,5,0,Semi-urban,1645400,0
Male,58,Undergraduate,Single,Employed,299600,144500,Lakshadweep,4,Startup Loan,176250,3,Family,Other,5384410,74,7.99,Good,0,11,1,Rural,1040300,0
Male,36,Not Graduate,Married,Employed,365100,101800,Bihar,6,Home Loan,34810,2,Family,Land/Plot,711800,270,7.96,Good,0,9,0,Semi-urban,889600,1
Male,66,Graduate,Married,Employed,554200,83300,Nagaland,6,Personal Loan,157990,1,Rent,Home,1191640,8,10.71,Good,0,7,0,Semi-urban,149500,1
Female,43,Undergraduate,Single,Employed,789200,0,Rajasthan,2,Home Loan,96870,3,Own,House,3466730,88,7.0,Good,0,7,1,Urban,1134100,0
Male,51,Undergraduate,Married,Employed,500800,0,Chhattisgarh,6,Home Loan,50700,1,Rent,Apartment/Flat,7578470,202,11.85,Good,0,10,1,Rural,1424900,0
Male,26,Not Graduate,Married,Unemployed,82300,0,Delhi,4,Car Loan / Vehicle Loan,112920,0,Family,Car / Vehicle,991370,56,9.37,Good,0,7,1,Urban,270000,0
Female,25,Graduate,Single,Employed,60000,0,Lakshadweep,3,Car Loan / Vehicle Loan,18350,0,Rent,Car / Vehicle,224660,72,10.33,Good,0,8,0,Urban,89800,0
Male,54,Not Graduate,Single,Self-employed,331500,0,Himachal Pradesh,9,Education Loan,195580,1,Rent,Agricultural Land,361010,76,6.0,Good,0,9,0,Semi-urban,119500,1
Female,29,Graduate,Married,Employed,362500,0,Haryana,7,Home Loan,66120,0,Rent,House,2110650,260,10.49,Bad,0,6,2,Urban,1875000,0
Female,80,Undergraduate,Single,Self-employed,561700,0,West Bengal,5,Personal Loan,68170,2,Rent,Home,439050,57,10.33,Good,0,5,1,Urban,67100,1
Female,71,Undergraduate,Married,Self-employed,985500,141700,Maharashtra,0,Personal Loan,22510,0,Own,Home,116840,52,9.54,Good,0,7,0,Semi-urban,190900,1
Female,62,Undergraduate,Married,Unemployed,172700,0,Arunachal Pradesh,7,Credit Card Loan,37050,0,Rent,Home,155910,28,20.19,Good,0,3,0,Urban,140500,1
Male,64,Graduate,Divorced,Self-employed,270400,0,West Bengal,8,Home Loan,19840,1,Rent,House,1027600,192,7.42,Good,0,5,0,Rural,620200,0
Female,55,Undergraduate,Single,Self-employed,567000,0,Madhya Pradesh,1,Car Loan / Vehicle Loan,169050,1,Rent,Car / Vehicle,898670,20,10.09,Good,0,10,1,Rural,69900,1
Male,21,Graduate,Single,Employed,340300,0,Manipur,8,Education Loan,33450,0,Rent,Agricultural Land,121330,62,10.96,Good,1,5,0,Semi-urban,58000,1
Male,42,Undergraduate,Married,Employed,230300,0,Telangana,4,Education Loan,92570,0,Family,Agricultural Land,874360,142,11.53,Bad,0,11,1,Urban,731400,0
Female,49,Undergraduate,Single,Employed,296900,0,Rajasthan,8,Gold Loan,426020,0,Rent,Gold,259250,28,10.37,Good,0,0,0,Semi-urban,1629300,1
Male,75,Undergraduate,Married,Self-employed,650500,0,Chandigarh,9,Personal Loan,1724720,2,Rent,Home,82150,6,12.93,Good,0,5,0,Urban,117600,1
Female,31,Graduate,Married,Self-employed,332800,0,Andaman and Nicobar Islands,7,Wedding Loan,118900,2,Rent,Fixed Deposit,225770,31,7.53,Good,0,7,0,Semi-urban,505600,1
Female,49,Undergraduate,Married,Employed,680500,633900,Ladakh,10,Car Loan / Vehicle Loan,186420,0,Own,Car / Vehicle,282480,25,13.33,Good,0,2,0,Urban,128900,1
Female,39,Undergraduate,Married,Employed,333700,0,Ladakh,0,Home Loan,52650,0,Rent,House,2515090,109,8.87,Good,0,9,0,Urban,736900,0
Male,26,Undergraduate,Single,Employed,62700,0,Tamil Nadu,3,Farm Equipment Loan,9280,0,Family,Agricultural Land,223870,82,14.69,Good,0,12,0,Urban,1157500,1
Male,24,Undergraduate,Married,Employed,200100,126700,Rajasthan,0,Credit Card Loan,26530,2,Rent,Home,14770,5,16.58,Good,0,12,0,Rural,22900,1
Female,41,Undergraduate,Married,Employed,253900,0,Mizoram,1,Home Loan,229810,1,Family,Apartment/Flat,2759070,219,6.0,Good,0,7,0,Urban,2143900,0
Male,23,Undergraduate,Single,Employed,262000,130100,Telangana,4,Business Loan,52930,0,Rent,Commercial Property,632710,35,11.75,Bad,0,6,0,Urban,1846000,1
Female,22,Undergraduate,Single,Self-employed,247300,0,Assam,0,Home Loan,384950,0,Family,Apartment/Flat,1920080,92,7.53,Good,1,7,0,Urban,1701400,0
